Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
29/03/2018,B,$$,11123.0719,11123.0719,727415533,14322588535,1,0,BLOOMBERG,2018-03-29,11123.0719
30/03/2018,B,$$,11123.7192,11123.7192,727457865,14323794249,1,0,BLOOMBERG,2018-03-30,11123.7192
31/03/2018,B,$$,11124.135,11124.135,727485057,14324702134,1,0,BLOOMBERG,2018-03-31,11124.135
01/04/2018,B,$$,11124.7543,11124.7543,727525557,14325871935,1,0,BLOOMBERG,2018-04-01,11124.7543
02/04/2018,B,$$,11127.4901,11127.4901,727704470,14330969047,1,0,BLOOMBERG,2018-04-02,11127.4901
03/04/2018,B,$$,11133.3067,11133.3067,728084858,14616299273,1,0,BLOOMBERG,2018-04-03,11133.3067
04/04/2018,B,$$,11135.1151,11135.1151,1228169790,15812682343,1,0,BLOOMBERG,2018-04-04,11135.1151
05/04/2018,B,$$,11142.979,11142.979,1229037155,15210343118,2,0,BLOOMBERG,2018-04-05,11142.979
06/04/2018,B,$$,11136.7975,11136.7975,1228355354,15117390944,2,0,BLOOMBERG,2018-04-06,11136.7975
07/04/2018,B,$$,11137.3074,11137.3074,1228411594,15118476441,2,0,BLOOMBERG,2018-04-07,11137.3074
08/04/2018,B,$$,11137.8934,11137.8934,1228476228,15119665322,2,0,BLOOMBERG,2018-04-08,11137.8934
09/04/2018,B,$$,11139.9444,11139.9444,1228702447,15122842701,2,0,BLOOMBERG,2018-04-09,11139.9444
10/04/2018,B,$$,11145.7187,11145.7187,1229339335,15131074003,2,0,BLOOMBERG,2018-04-10,11145.7187
11/04/2018,B,$$,11148.3778,11148.3778,1229632626,15148567153,2,0,BLOOMBERG,2018-04-11,11148.3778
12/04/2018,B,$$,11151.3413,11151.3413,1229959491,15193633245,2,0,BLOOMBERG,2018-04-12,11151.3413
13/04/2018,B,$$,11150.5292,11150.5292,1229869919,15409261211,2,0,BLOOMBERG,2018-04-13,11150.5292
14/04/2018,B,$$,11151.5329,11151.5329,1229980624,15411048938,2,0,BLOOMBERG,2018-04-14,11151.5329
15/04/2018,B,$$,11152.6744,11152.6744,1230106528,15413027086,2,0,BLOOMBERG,2018-04-15,11152.6744
16/04/2018,B,$$,11148.969,11148.969,1229697834,15408300155,2,0,BLOOMBERG,2018-04-16,11148.969
17/04/2018,B,$$,11146.6882,11146.6882,2314052470,15405541405,2,0,BLOOMBERG,2018-04-17,11146.6882
18/04/2018,B,$$,11147.987,11147.987,2314322101,15407736755,2,0,BLOOMBERG,2018-04-18,11147.987
